"R0000100","R8316300","R8316400","R8316500","R8316700","R8316800"
1,-5,-5,-5,-5,-5
2,0,-4,-4,-4,-4
3,-5,-5,-5,-5,-5
4,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5
6,56500,-4,-4,-4,-4
7,30000,-4,-4,-4,-4
8,34000,-4,-4,-4,-4
9,55000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-2,10000,20000,-4,-4
12,-5,-5,-5,-5,-5
13,38000,-4,-4,-4,-4
14,89000,-4,-4,-4,-4
15,0,-4,-4,-4,-4
16,65000,-4,-4,-4,-4
17,62000,-4,-4,-4,-4
18,80000,-4,-4,-4,-4
19,-5,-5,-5,-5,-5
20,74000,-4,-4,-4,-4
21,100000,-4,-4,-4,-4
22,10000,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,20000,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,0,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,62000,-4,-4,-4,-4
30,36000,-4,-4,-4,-4
31,36000,-4,-4,-4,-4
32,-1,-4,-4,-4,1
33,-5,-5,-5,-5,-5
34,30000,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,115000,-4,-4,-4,-4
37,34000,-4,-4,-4,-4
38,61158,-4,-4,-4,-4
39,-2,50000,60000,-4,-4
40,700,-4,-4,-4,-4
41,73000,-4,-4,-4,-4
42,48000,-4,-4,-4,-4
43,0,-4,-4,-4,-4
44,0,-4,-4,-4,-4
45,-5,-5,-5,-5,-5
46,35000,-4,-4,-4,-4
47,42000,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,39900,-4,-4,-4,-4
50,30000,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5
53,0,-4,-4,-4,-4
54,-5,-5,-5,-5,-5
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,9000,-4,-4,-4,-4
58,54000,-4,-4,-4,-4
59,44000,-4,-4,-4,-4
60,-5,-5,-5,-5,-5
61,55500,-4,-4,-4,-4
62,29000,-4,-4,-4,-4
63,120000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,-1,-4,-4,-4,-4
67,-5,-5,-5,-5,-5
68,0,-4,-4,-4,-4
69,94000,-4,-4,-4,-4
70,45000,-4,-4,-4,-4
71,-5,-5,-5,-5,-5
72,37000,-4,-4,-4,-4
73,120000,-4,-4,-4,-4
74,-5,-5,-5,-5,-5
75,30000,-4,-4,-4,-4
76,37590,-4,-4,-4,-4
77,68977,-4,-4,-4,-4
78,16323,-4,-4,-4,-4
79,265933,-4,-4,-4,-4
80,13000,-4,-4,-4,-4
81,40000,-4,-4,-4,-4
82,-5,-5,-5,-5,-5
83,0,-4,-4,-4,-4
84,0,-4,-4,-4,-4
85,-2,-2,-2,1,-4
86,10500,-4,-4,-4,-4
87,-2,-2,-2,0,-4
88,0,-4,-4,-4,-4
89,48000,-4,-4,-4,-4
90,105000,-4,-4,-4,-4
91,40000,-4,-4,-4,-4
92,21000,-4,-4,-4,-4
93,74000,-4,-4,-4,-4
94,40000,-4,-4,-4,-4
95,28000,-4,-4,-4,-4
96,38000,-4,-4,-4,-4
97,44000,-4,-4,-4,-4
98,0,-4,-4,-4,-4
